[ 2025-07-23 12:50:33,402 ] 11 root - INFO - Loading HuggingFace embedding model: sentence-transformers/all-MiniLM-L6-v2
[ 2025-07-23 12:51:04,550 ] 219 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu
[ 2025-07-23 12:51:04,551 ] 227 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[ 2025-07-23 12:51:14,107 ] 17 root - INFO - Initializing Chroma vectorstore at: ./vectorstore/chroma_db
[ 2025-07-23 12:51:14,211 ] 22 chromadb.telemetry.product.posthog - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[ 2025-07-23 12:51:14,804 ] 28 root - INFO - Chroma vectorstore initialized successfully.
[ 2025-07-23 12:51:14,809 ] 219 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu
[ 2025-07-23 12:51:14,809 ] 227 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[ 2025-07-23 12:51:19,744 ] 17 root - INFO - Initializing Chroma vectorstore at: ./vectorstore/chroma_db
[ 2025-07-23 12:51:19,876 ] 28 root - INFO - Chroma vectorstore initialized successfully.
[ 2025-07-23 12:51:19,877 ] 18 root - INFO - RetrievalAgent initialized successfully
[ 2025-07-23 12:51:23,839 ] 34 root - INFO - LLMResponseAgent initialized with model: mistralai/mistral-7b-instruct:free
[ 2025-07-23 12:51:23,840 ] 29 root - INFO - CoordinatorAgent initialized successfully
[ 2025-07-23 12:52:25,601 ] 14 root - INFO - Initializing IngestionAgent...
[ 2025-07-23 12:52:25,602 ] 21 root - INFO - Initializing TextExtractor with supported file types...
[ 2025-07-23 12:52:25,602 ] 21 root - INFO - Starting ingestion for 3 file(s).
[ 2025-07-23 12:52:25,603 ] 24 root - INFO - Processing file: ./data\Jinil_Patel_Resume.pdf
[ 2025-07-23 12:52:26,572 ] 28 root - INFO - Successfully extracted text from: ./data\Jinil_Patel_Resume.pdf
[ 2025-07-23 12:52:26,573 ] 24 root - INFO - Processing file: ./data\VedicReport6-25-20259-49-16AM.pdf
[ 2025-07-23 12:52:28,163 ] 28 root - INFO - Successfully extracted text from: ./data\VedicReport6-25-20259-49-16AM.pdf
[ 2025-07-23 12:52:28,164 ] 24 root - INFO - Processing file: ./data\LLM Interview Questions.pdf
[ 2025-07-23 12:52:28,825 ] 28 root - INFO - Successfully extracted text from: ./data\LLM Interview Questions.pdf
[ 2025-07-23 12:52:28,826 ] 34 root - INFO - Completed ingestion of all files.
[ 2025-07-23 12:52:28,827 ] 24 root - INFO - Splitting extracted text into chunks...
[ 2025-07-23 12:52:28,829 ] 36 root - INFO - Text split into 9 chunks.
[ 2025-07-23 12:52:28,830 ] 24 root - INFO - Splitting extracted text into chunks...
[ 2025-07-23 12:52:28,839 ] 36 root - INFO - Text split into 97 chunks.
[ 2025-07-23 12:52:28,845 ] 24 root - INFO - Splitting extracted text into chunks...
[ 2025-07-23 12:52:28,849 ] 36 root - INFO - Text split into 45 chunks.
[ 2025-07-23 12:52:28,850 ] 41 root - INFO - Adding 151 document chunks to Chroma...
[ 2025-07-23 12:52:44,726 ] 43 root - INFO - Documents added to Chroma DB successfully.
